,StartDate,EndDate,Status,Progress,duration,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,IC,OPC,Parent,rsv_intent_hyp_pre,rsv_intent_hyp_rej,rsv_intent_hyp_post,no_child,X1_age_ch_i,X1_sex_ch_i,X1_relationship_ch_i,X1_relationship_ch_i_6_TEXT,X1_permission_ch_i,X1_rsv_ch_i,X2_age_ch_i,X2_sex_ch_i,X2_relationship_ch_i,X2_relationship_ch_i_6_TEXT,X2_permission_ch_i,X2_rsv_ch_i,X3_age_ch_i,X3_sex_ch_i,X3_relationship_ch_i,X3_relationship_ch_i_6_TEXT,X3_permission_ch_i,X3_rsv_ch_i,besd1,besd2,besd3,besd4,besd5,besd6,besd7,besd8,besd9,besd10,besd11,besd12,besd13,besd14,besd15,besd16,besd16_13_TEXT,besd17,besd18,besd18_9_TEXT,AGE,SEX,REG,EDU,SCH,EMP,REL,ETH,LAN,HHLAN,MIG,BUK,YUK,ENP,DIS1,DIS2,HEA,state,Age,RecipientFirstName,no_child.1,RCT
11,27/08/2024 14:09,27/08/2024 14:15,IP Address,100,340,True,27/08/2024 14:15,R_8hYKFhwx5EL6Hyy,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,EH16,Yes,"Yes, definitely",Concerns over the effectiveness of treatment,"Yes, definitely",1,9,Female,Father,,No,,,,,,,,,,,,,,Very important,Very safe,Very much,Yes,Yes,Not applicable to me,Not applicable to me,Yes,Yes,No,Yes,Yes,No,Very easy,Very easy,"Nothing, it's not hard",,Very satisfied,Nothing. I am satisfied.,,34.0,Male,Scotland,"5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma",No,In full-time or part-time employment (including self-employed),No religion,"White: English, Welsh, Scottish, Northern Irish or British",English,"Yes, at least one person in my household has English or Welsh as their main language",No,Yes,,Very well,Yes,"Yes, a little",Good,2df30215cf2d0c21f0e5cc450e994762da4bf79aQ000034L000002cb,25-34,,1,RCT0
12,27/08/2024 14:08,27/08/2024 14:16,IP Address,100,466,True,27/08/2024 14:16,R_2yKED1wNUdUYZpf,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,B34,Yes,"Yes, definitely",Lack of trust in the healthcare system,"Unsure, but leaning towards yes",2,6,Male,Father,,No,,9.0,Male,Father,,No,,,,,,,,Moderately important,Moderately safe,Moderately,Yes,Yes,Not applicable to me,Not applicable to me,Yes,Yes,No,Yes,Yes,No,Moderately easy,Very easy,"Nothing, it's not hard",,Moderately satisfied,Nothing. I am satisfied.,,43.0,Male,West Midlands,"5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma",No,In full-time or part-time employment (including self-employed),No religion,"White: English, Welsh, Scottish, Northern Irish or British",English,"Yes, at least one person in my household has English or Welsh as their main language",No,Yes,,Very well,Yes,Not at all,Bad,48a37df54e7071685cf784d72f36abc2b7ca4850Q00002WF00000289,35-44,,2,RCT3
13,27/08/2024 14:07,27/08/2024 14:16,IP Address,100,511,True,27/08/2024 14:16,R_2g7lnTugAblR0KB,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,LN2,Yes,"Yes, definitely",Fear of side effects or adverse reactions,"Yes, definitely",1,1,Female,Mother,,No,"Yes, definitely",,,,,,,,,,,,,Very important,Very safe,Very much,Yes,Yes,Not applicable to me,Not applicable to me,Yes,Yes,No,Yes,Yes,No,Very easy,Very easy,"Nothing, it's not hard",,Very satisfied,Nothing. I am satisfied.,,30.0,Female,East Midlands,"Degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",No,In full-time or part-time employment (including self-employed),No religion,"White: English, Welsh, Scottish, Northern Irish or British",English,"Yes, at least one person in my household has English or Welsh as their main language",No,Yes,,Very well,No,,Fair,86c6ff6eb0ba6351eb91a718ed1bc17a617b180bQ00002VB00000276,25-34,,1,RCT5
14,27/08/2024 14:09,27/08/2024 14:16,IP Address,100,417,True,27/08/2024 14:16,R_8gwO9KVOKbEwDI1,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,EX39,Yes,"Yes, definitely",Insufficient information or understanding about treatment,"Unsure, but leaning towards yes",1,16,Female,Mother,,No,,,,,,,,,,,,,,Very important,Very safe,Very much,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Very easy,Moderately easy,"Nothing, it's not hard",,Very satisfied,Nothing. I am satisfied.,,52.0,Female,South West England,"2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma",No,Unemployed but seeking work or waiting to start a job (and available to work within two weeks),Christian,"White: English, Welsh, Scottish, Northern Irish or British",English,"Yes, at least one person in my household has English or Welsh as their main language",No,Yes,,Very well,No,,Good,13a28c57cb3b0847ca4c5536165881679ad53888Q000035U0000028c,45-54,,1,RCT3
15,27/08/2024 14:08,27/08/2024 14:17,IP Address,100,502,True,27/08/2024 14:17,R_20iObZuE5Rx0Ehz,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,WV2,Yes,"Yes, definitely",Do not know where to get treatment,"Yes, definitely",3 or more,3,Male,Mother,,No,,11.0,Female,Mother,,No,,11.0,Male,Mother,,No,,Very important,Very safe,Very much,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Very easy,A little easy,"Nothing, it's not hard",,Very satisfied,Nothing. I am satisfied.,,41.0,Female,West Midlands,"Degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",No,Unemployed but seeking work or waiting to start a job (and available to work within two weeks),Muslim,Arab,Arabic,No people in my household have English or Welsh as their main language,No,No,Arrived after 2010,Very well,No,,Very good,97eb9a610e7bf14a691471a671de68f37cca43ddQ00002ZV0000029e,35-44,,3 or more,RCT2
16,27/08/2024 14:13,27/08/2024 14:17,IP Address,100,248,True,27/08/2024 14:17,R_2ikXI2LFIXp5pv3,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,NR4,Yes,"Unsure, but leaning towards yes","Concerns about safety,Given too soon after birth","Unsure, but leaning towards yes",1,10,Female,Father,,Yes,,,,,,,,,,,,,,Moderately important,A little safe,A little,Yes,Yes,Not applicable to me,Not applicable to me,No,Yes,No,Yes,Yes,No,A little easy,A little easy,"Nothing, it's not hard",,Moderately satisfied,Waiting times are long,,51.0,Male,East of England,"1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",No,In full-time or part-time employment (including self-employed),No religion,"White: English, Welsh, Scottish, Northern Irish or British",English,"Yes, at least one person in my household has English or Welsh as their main language",No,Yes,,Very well,No,,Good,04b9455b2af1ceaaaef8b45c960f1c90986daefcQ00003LZ0000028b,45-54,,1,RCT5
17,27/08/2024 14:11,27/08/2024 14:17,IP Address,100,391,True,27/08/2024 14:17,R_8QKWlwoeNLS16wQ,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,SE24,Yes,"Yes, definitely","Religious or personal beliefs,Infants are at low risk of RSV","Yes, definitely",1,13,Male,Father,,No,,,,,,,,,,,,,,Very important,Very safe,Very much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Very easy,"I am made to feel unwelcome at the clinic,The clinic only had health workers of the opposite sex",,Very satisfied,Waiting times are long,,28.0,Male,London,"Degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",Yes,In full-time or part-time employment (including self-employed),Christian,"White: English, Welsh, Scottish, Northern Irish or British",English,"Yes, at least one person in my household has English or Welsh as their main language",No,Yes,,Very well,No,,Very good,4e0434a668a8d70f7ddc830974e575ea022a6bceQ00003DX00000289,25-34,,1,RCT2
18,27/08/2024 14:10,27/08/2024 14:18,IP Address,100,473,True,27/08/2024 14:18,R_8y8FmZzZNduJnq8,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,Ab44,Yes,"Unsure, but leaning towards yes","Fear of side effects or adverse reactions,Insufficient information or understanding about treatment","Yes, definitely",3 or more,9,Female,Father,,Yes,,11.0,Female,Father,,Yes,,14.0,Male,Father,,Yes,,Moderately important,Moderately safe,Moderately,Yes,Yes,Not applicable to me,Not applicable to me,No,Yes,No,Yes,Yes,No,Very easy,Very easy,"Nothing, it's not hard",,Very satisfied,Nothing. I am satisfied.,,47.0,Male,Scotland,"2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma",No,In full-time or part-time employment (including self-employed),Do not wish to answer,"White: English, Welsh, Scottish, Northern Irish or British",English,"Yes, at least one person in my household has English or Welsh as their main language",No,Yes,,Very well,No,,Good,7ae8e31ee4de8439d341d68ad3cf06595a30ff03Q00003840000028d,45-54,,3 or more,RCT4
19,27/08/2024 13:59,27/08/2024 14:18,IP Address,100,1142,True,27/08/2024 14:18,R_2Y9sZS1FZtmQkmd,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,OX20,Yes,"Yes, definitely",Do not know where to get treatment,"Yes, definitely",1,3,Female,Father,,Yes,,,,,,,,,,,,,,Very important,Very safe,Very much,Yes,Yes,Not applicable to me,Not applicable to me,Yes,Yes,No,Yes,No,No,Moderately easy,Very easy,"Nothing, it's not hard",,Very satisfied,Nothing. I am satisfied.,,34.0,Male,South East England,"Degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",No,In full-time or part-time employment (including self-employed),Jewish,White: Other White,English,No people in my household have English or Welsh as their main language,No,Yes,,Very well,No,,Very good,091a52974c223fbba892ffda39e084eee0ded770Q000028C0000028a,25-34,,1,RCT6
20,27/08/2024 14:05,27/08/2024 14:18,IP Address,100,774,True,27/08/2024 14:18,R_2q7QL1oSOHYFQ6p,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,Da9,Yes,"Unsure, but leaning towards yes","Concerns about importance of treatment,Fear of side effects or adverse reactions,Financial or cost-related reasons","Yes, definitely",1,1,Male,Father,,Yes,"Yes, definitely",,,,,,,,,,,,,Very important,Moderately safe,Moderately,Yes,Yes,Not applicable to me,Not applicable to me,Yes,Yes,No,Yes,Yes,No,Moderately easy,A little easy,"Nothing, it's not hard",,Moderately satisfied,Nothing. I am satisfied.,,35.0,Male,South East England,"1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",No,In full-time or part-time employment (including self-employed),No religion,"White: English, Welsh, Scottish, Northern Irish or British",English,No people in my household have English or Welsh as their main language,No,Yes,,Very well,No,,Good,af93257fce72cfbb4762e1432c75b52ab0402392Q00002GG00000289,35-44,,1,RCT2
21,27/08/2024 14:11,27/08/2024 14:19,IP Address,100,441,True,27/08/2024 14:19,R_2BrHKcbPZR61jJG,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,SE11,Yes,"Yes, definitely",Concerns over the effectiveness of treatment,"Yes, definitely",1,10,Female,Father,,No,,,,,,,,,,,,,,Very important,Moderately safe,Moderately,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Moderately easy,Moderately easy,Other (please specify),No particular reason,Moderately satisfied,Nothing. I am satisfied.,,30.0,Male,London,"Degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",No,In full-time or part-time employment (including self-employed),Christian,"White: English, Welsh, Scottish, Northern Irish or British",English,"Yes, at least one person in my household has English or Welsh as their main language",No,Yes,,Very well,No,,Very good,d43e2c56b0f1c8c99dd95fad2d0e3bd80ad5789cQ00003G8000002a2,25-34,,1,RCT1
22,27/08/2024 14:09,27/08/2024 14:19,IP Address,100,602,True,27/08/2024 14:19,R_8Qsm4Gy6mGpdAt0,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,Co16,Yes,"Unsure, but leaning towards no","Concerns about safety,Fear of side effects or adverse reactions,Insufficient information or understanding about treatment","Unsure, but leaning towards no",3 or more,7,Female,Mother,,No,,10.0,Female,Mother,,No,,15.0,Male,Mother,,No,,Moderately important,A little safe,Moderately,Yes,Yes,Not applicable to me,Not applicable to me,No,No,Yes,Yes,Yes,No,Moderately easy,Moderately easy,"Nothing, it's not hard",,Moderately satisfied,Nothing. I am satisfied.,,40.0,Female,East of England,"1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",No,In full-time or part-time employment (including self-employed),No religion,"White: English, Welsh, Scottish, Northern Irish or British",English,"Yes, at least one person in my household has English or Welsh as their main language",No,Yes,,Very well,No,,Fair,0fdfc380cb9b1bf64fa0b7de1da15384b58add23Q000033F00000298,35-44,,3 or more,RCT1
23,27/08/2024 14:11,27/08/2024 14:19,IP Address,100,502,True,27/08/2024 14:19,R_8xLa68Ub4tnTqYH,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,G76,Yes,"Yes, definitely",Other (please state),"Yes, definitely",2,4,Female,Mother,,Yes,,7.0,Male,Mother,,Yes,,,,,,,,Very important,Very safe,Very much,Yes,Yes,Not applicable to me,Not applicable to me,No,Yes,No,Yes,Yes,No,Very easy,Very easy,"Nothing, it's not hard",,Very satisfied,Nothing. I am satisfied.,,43.0,Female,Scotland,"Degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",No,In full-time or part-time employment (including self-employed),No religion,"White: English, Welsh, Scottish, Northern Irish or British",English,No people in my household have English or Welsh as their main language,No,Yes,,Very well,No,,Very good,57e307c53493f79af52fad0e981255bc014004d3Q00003F20000029c,35-44,,2,RCT2
